pool_depth,attack_size_frac,user_regime,arbitrage_mode,peg_failure_mean,peg_failure_std,profit_mean,profit_std,profit_min,profit_max,min_price_mean,min_price_std,max_price_drop_mean,max_price_drop_std
1000000,0.01,Panic,Moderate,0.4667,0.5074,9927.5287,294.1536,9134.9108,10420.0247,0.9208,0.0276,0.0792,0.0276
1000000,0.01,Panic,Slow,0.6,0.4983,11232.0559,1887.1223,9028.3463,18665.0718,0.9296,0.0482,0.0704,0.0482
1000000,0.025,Normal,Fast,0.0,0.0,24400.0592,49.5504,24317.1857,24502.0188,0.9685,0.0022,0.0315,0.0022
1000000,0.025,Normal,Moderate,0.1,0.3051,24385.6398,39.232,24269.2251,24439.5577,0.9749,0.0222,0.0251,0.0222
1000000,0.025,Normal,Slow,0.9,0.3051,24382.7966,156.7028,24073.8785,24861.256,0.9512,0.0112,0.0488,0.0112
1000000,0.025,Panic,Fast,0.1333,0.3457,24505.254,1014.3289,22846.4776,26639.9898,0.8851,0.0322,0.1149,0.0322
1000000,0.025,Panic,Moderate,0.5,0.5085,24455.0301,719.407,22516.0148,25659.1743,0.9199,0.0262,0.0801,0.0262
1000000,0.025,Panic,Slow,0.6,0.4983,27638.904,4600.1862,22255.1741,45731.8751,0.9239,0.0503,0.0761,0.0503
1000000,0.05,Normal,Fast,0.0,0.0,47637.9838,95.6027,47478.0836,47834.7003,0.9392,0.0022,0.0608,0.0022
1000000,0.05,Normal,Moderate,0.1,0.3051,47610.1633,75.6967,47385.5408,47714.1932,0.9538,0.0446,0.0462,0.0446
1000000,0.05,Normal,Slow,0.9667,0.1826,47604.6622,302.3393,47008.5752,48527.6779,0.9091,0.0175,0.0909,0.0175
1000000,0.05,Panic,Fast,0.1,0.3051,47840.2599,1956.6927,44638.8045,51956.3339,0.879,0.0311,0.121,0.0311
1000000,0.05,Panic,Moderate,0.5,0.5085,47743.6993,1388.2285,44000.4074,50066.2549,0.9148,0.0269,0.0852,0.0269
1000000,0.05,Panic,Slow,0.6667,0.4795,53867.4864,8831.0128,43496.3973,88520.8003,0.9107,0.0547,0.0893,0.0547
1000000,0.1,Normal,Fast,0.0,0.0,90944.4344,178.4635,90645.9322,91311.6333,0.8855,0.002,0.1145,0.002
1000000,0.1,Normal,Moderate,0.1,0.3051,90892.5023,141.3129,90473.1548,91086.6992,0.915,0.0844,0.085,0.0844
1000000,0.1,Normal,Slow,1.0,0.0,90882.1804,564.3709,89769.2473,92604.7631,0.833,0.029,0.167,0.029
1000000,0.1,Panic,Fast,0.0667,0.2537,91319.6681,3651.3844,85339.9696,98994.0097,0.8581,0.0338,0.1419,0.0338
1000000,0.1,Panic,Moderate,0.5,0.5085,91140.588,2592.136,84145.4985,95473.6703,0.8846,0.0536,0.1154,0.0536
1000000,0.1,Panic,Slow,0.8,0.4068,102506.9992,16335.0913,83202.0883,166337.411,0.8648,0.0707,0.1352,0.0707
5000000,0.005,Normal,Fast,0.0,0.0,24885.7317,51.0336,24800.3792,24990.7453,0.9925,0.0019,0.0075,0.0019
5000000,0.005,Normal,Moderate,0.0,0.0,24870.8805,40.4053,24750.9863,24926.4121,0.9928,0.0033,0.0072,0.0033
5000000,0.005,Normal,Slow,0.1667,0.379,24867.9591,161.3951,24549.8208,25360.7968,0.9857,0.0058,0.0143,0.0058
5000000,0.005,Panic,Fast,0.1667,0.379,24994.3842,1044.8523,23286.4066,27194.2326,0.8865,0.0327,0.1135,0.0327
5000000,0.005,Panic,Moderate,0.4667,0.5074,24942.5033,740.8507,22946.4113,26183.0176,0.9207,0.0276,0.0793,0.0276
5000000,0.005,Panic,Slow,0.6,0.4983,28230.3892,4758.2224,22678.096,46981.4252,0.9311,0.0477,0.0689,0.0477
5000000,0.01,Normal,Fast,0.0,0.0,49525.0199,101.311,49355.579,49733.4899,0.9869,0.0023,0.0131,0.0023
5000000,0.01,Normal,Moderate,0.0333,0.1826,49495.5376,80.2123,49257.5235,49605.778,0.9883,0.0079,0.0117,0.0079
5000000,0.01,Normal,Slow,0.3333,0.4795,49489.7347,320.3976,48858.1594,50468.0779,0.9775,0.0074,0.0225,0.0074
