pool_depth,attack_size_frac,seed,peg_failure,min_price,profit,final_price,user_regime,arbitrage_mode
1000000,0.05,0,False,0.9366135366597986,48201.71565749147,0.9849541296791273,Panic,Moderate
1000000,0.05,1,False,0.9455156491196225,49894.498418382835,0.9945174406882936,Panic,Moderate
1000000,0.05,2,True,0.9078559677788322,45990.89068644191,0.9267655126503717,Panic,Moderate
1000000,0.05,3,False,0.9464726048553784,46362.68842933816,1.0028847573906292,Panic,Moderate
1000000,0.05,4,True,0.8912456088988491,48670.38362452923,1.0065892522324382,Panic,Moderate
1000000,0.1,0,False,0.9366135366597986,91996.57731373643,0.9849541296773447,Panic,Moderate
1000000,0.1,1,False,0.863633233399245,95153.55051361071,0.9945174407623593,Panic,Moderate
1000000,0.1,2,True,0.9055565550107979,87868.01394227555,0.9267655126322077,Panic,Moderate
1000000,0.1,3,False,0.9464725988415742,88562.75971440901,1.0028847573906041,Panic,Moderate
1000000,0.1,4,True,0.8254968976921814,92870.98372399143,1.0065892518662707,Panic,Moderate
10000000,0.05,0,False,0.9366135366597986,482017.1565749161,0.9849541296791274,Panic,Moderate
10000000,0.05,1,False,0.9455156491196224,498944.9841838293,0.9945174406882935,Panic,Moderate
10000000,0.05,2,True,0.907855967778832,459908.9068644196,0.926765512650372,Panic,Moderate
10000000,0.05,3,False,0.9464726048553784,463626.884293383,1.0028847573906292,Panic,Moderate
10000000,0.05,4,True,0.8912456088988493,486703.83624529094,1.0065892522324387,Panic,Moderate
10000000,0.1,0,False,0.9366135366597986,919965.7731373645,0.9849541296773445,Panic,Moderate
10000000,0.1,1,False,0.8636332333992452,951535.5051361062,0.9945174407623592,Panic,Moderate
10000000,0.1,2,True,0.905556555010798,878680.1394227576,0.9267655126322079,Panic,Moderate
10000000,0.1,3,False,0.9464725988415742,885627.5971440896,1.0028847573906041,Panic,Moderate
10000000,0.1,4,True,0.8254968976921814,928709.8372399136,1.006589251866271,Panic,Moderate
