pool_depth,delta_s_frac,user_regime,arb_mode,breach_prob,capital_required,total_cost,expected_profit,net_profit,roi_percent,profit_margin_percent,economically_viable
100000,0.005,Normal,Fast,0.0,500.0,501.6513698630137,0.0,-501.6513698630137,-100.33027397260274,-100.0,False
100000,0.005,Normal,Moderate,0.0,500.0,501.6513698630137,0.0,-501.6513698630137,-100.33027397260274,-100.0,False
100000,0.005,Normal,Slow,0.0,500.0,501.6513698630137,0.0,-501.6513698630137,-100.33027397260274,-100.0,False
100000,0.005,Panic,Fast,0.0,500.0,501.6513698630137,0.0,-501.6513698630137,-100.33027397260274,-100.0,False
100000,0.005,Panic,Moderate,0.0,500.0,501.6513698630137,0.0,-501.6513698630137,-100.33027397260274,-100.0,False
100000,0.005,Panic,Slow,0.0,500.0,501.6513698630137,0.0,-501.6513698630137,-100.33027397260274,-100.0,False
100000,0.01,Normal,Fast,0.0,1000.0,1003.3041095890411,0.0,-1003.3041095890411,-100.33041095890411,-100.0,False
100000,0.01,Normal,Moderate,0.0333333333333333,1000.0,1003.3041095890411,8.449999999999992,-994.8541095890411,-99.48541095890411,-11773.421415254934,False
100000,0.01,Normal,Slow,0.2,1000.0,1003.3041095890411,50.70000000000001,-952.6041095890411,-95.2604109589041,-1878.9035692091534,False
100000,0.01,Panic,Fast,0.0,1000.0,1003.3041095890411,0.0,-1003.3041095890411,-100.33041095890411,-100.0,False
100000,0.01,Panic,Moderate,0.0,1000.0,1003.3041095890411,0.0,-1003.3041095890411,-100.33041095890411,-100.0,False
100000,0.01,Panic,Slow,0.0,1000.0,1003.3041095890411,0.0,-1003.3041095890411,-100.33041095890411,-100.0,False
100000,0.025,Normal,Fast,0.0,2500.0,2508.2705479452056,0.0,-2508.2705479452056,-100.33082191780822,-100.0,False
100000,0.025,Normal,Moderate,0.1,2500.0,2508.2705479452056,33.375000000000014,-2474.8955479452056,-98.99582191780823,-7415.4173721204625,False
100000,0.025,Normal,Slow,1.0,2500.0,2508.2705479452056,333.7500000000001,-2174.5205479452056,-86.98082191780823,-651.5417372120464,False
100000,0.025,Panic,Fast,0.0,2500.0,2508.2705479452056,0.0,-2508.2705479452056,-100.33082191780822,-100.0,False
100000,0.025,Panic,Moderate,0.1,2500.0,2508.2705479452056,33.375000000000014,-2474.8955479452056,-98.99582191780823,-7415.4173721204625,False
100000,0.025,Panic,Slow,0.0,2500.0,2508.2705479452056,0.0,-2508.2705479452056,-100.33082191780822,-100.0,False
100000,0.05,Normal,Fast,0.0,5000.0,5016.575342465753,0.0,-5016.575342465753,-100.33150684931506,-100.0,False
100000,0.05,Normal,Moderate,0.5666666666666667,5000.0,5016.575342465753,264.9166666666668,-4751.658675799086,-95.03317351598173,-1793.6427841959426,False
100000,0.05,Normal,Slow,1.0,5000.0,5016.575342465753,467.5000000000003,-4549.075342465753,-90.98150684931507,-973.0642443777006,False
100000,0.05,Panic,Fast,0.0,5000.0,5016.575342465753,0.0,-5016.575342465753,-100.33150684931506,-100.0,False
100000,0.05,Panic,Moderate,0.5666666666666667,5000.0,5016.575342465753,264.9166666666668,-4751.658675799086,-95.03317351598173,-1793.6427841959426,False
100000,0.05,Panic,Slow,0.7333333333333333,5000.0,5016.575342465753,342.8333333333335,-4673.74200913242,-93.47484018264839,-1363.2694241514102,False
100000,0.1,Normal,Fast,0.0,10000.0,10033.287671232878,0.0,-10033.287671232878,-100.33287671232878,-100.0,False
100000,0.1,Normal,Moderate,0.9333333333333332,10000.0,10033.287671232878,686.0000000000005,-9347.287671232878,-93.47287671232878,-1362.5783777307395,False
100000,0.1,Normal,Slow,1.0,10000.0,10033.287671232878,735.0000000000006,-9298.287671232878,-92.98287671232877,-1265.07315254869,False
100000,0.1,Panic,Fast,0.0,10000.0,10033.287671232878,0.0,-10033.287671232878,-100.33287671232878,-100.0,False
100000,0.1,Panic,Moderate,0.9,10000.0,10033.287671232878,661.5000000000005,-9371.787671232878,-93.71787671232879,-1416.7479472763223,False
100000,0.1,Panic,Slow,1.0,10000.0,10033.287671232878,735.0000000000006,-9298.287671232878,-92.98287671232877,-1265.07315254869,False
1000000,0.005,Normal,Fast,0.0,5000.0,5016.513698630137,0.0,-5016.513698630137,-100.33027397260274,-100.0,False
1000000,0.005,Normal,Moderate,0.0,5000.0,5016.513698630137,0.0,-5016.513698630137,-100.33027397260274,-100.0,False
1000000,0.005,Normal,Slow,0.0,5000.0,5016.513698630137,0.0,-5016.513698630137,-100.33027397260274,-100.0,False
1000000,0.005,Panic,Fast,0.0,5000.0,5016.513698630137,0.0,-5016.513698630137,-100.33027397260274,-100.0,False
