pool_depth,delta_s_frac,user_regime,arb_mode,breach_prob,capital_required,total_cost,expected_profit,net_profit,roi_percent,profit_margin_percent,economically_viable
100000,0.005,Normal,Fast,0.0,500.0,501.6513698630137,0.0,-501.6513698630137,-100.33027397260274,-100.0,False
100000,0.005,Normal,Moderate,0.0,500.0,501.6513698630137,0.0,-501.6513698630137,-100.33027397260274,-100.0,False
100000,0.005,Normal,Slow,0.0,500.0,501.6513698630137,0.0,-501.6513698630137,-100.33027397260274,-100.0,False
100000,0.005,Panic,Fast,0.0,500.0,501.6513698630137,0.0,-501.6513698630137,-100.33027397260274,-100.0,False
100000,0.005,Panic,Moderate,0.2,500.0,501.6513698630137,45.35000000000001,-456.3013698630137,-91.26027397260273,-1006.1772213076375,False
100000,0.005,Panic,Slow,0.9,500.0,501.6513698630137,204.07500000000002,-297.5763698630137,-59.51527397260274,-145.81716029058614,False
100000,0.01,Normal,Fast,0.0,1000.0,1003.3041095890411,0.0,-1003.3041095890411,-100.33041095890411,-100.0,False
100000,0.01,Normal,Moderate,0.0,1000.0,1003.3041095890411,0.0,-1003.3041095890411,-100.33041095890411,-100.0,False
100000,0.01,Normal,Slow,0.0,1000.0,1003.3041095890411,0.0,-1003.3041095890411,-100.33041095890411,-100.0,False
100000,0.01,Panic,Fast,0.0,1000.0,1003.3041095890411,0.0,-1003.3041095890411,-100.33041095890411,-100.0,False
100000,0.01,Panic,Moderate,0.4,1000.0,1003.3041095890411,101.40000000000002,-901.9041095890411,-90.19041095890411,-889.4517846045769,False
100000,0.01,Panic,Slow,0.9,1000.0,1003.3041095890411,228.15000000000003,-775.1541095890411,-77.51541095890411,-339.75634871314526,False
100000,0.025,Normal,Fast,0.0,2500.0,2508.2705479452056,0.0,-2508.2705479452056,-100.33082191780822,-100.0,False
100000,0.025,Normal,Moderate,0.0,2500.0,2508.2705479452056,0.0,-2508.2705479452056,-100.33082191780822,-100.0,False
100000,0.025,Normal,Slow,0.2,2500.0,2508.2705479452056,66.75000000000003,-2441.5205479452056,-97.66082191780822,-3657.7086860602312,False
100000,0.025,Panic,Fast,0.0,2500.0,2508.2705479452056,0.0,-2508.2705479452056,-100.33082191780822,-100.0,False
100000,0.025,Panic,Moderate,0.5,2500.0,2508.2705479452056,166.87500000000006,-2341.3955479452056,-93.65582191780823,-1403.0834744240926,False
100000,0.025,Panic,Slow,0.9,2500.0,2508.2705479452056,300.3750000000001,-2207.8955479452056,-88.31582191780822,-735.0463746800515,False
100000,0.05,Normal,Fast,0.0,5000.0,5016.575342465753,0.0,-5016.575342465753,-100.33150684931506,-100.0,False
100000,0.05,Normal,Moderate,0.3,5000.0,5016.575342465753,140.25000000000009,-4876.325342465753,-97.52650684931507,-3476.8808145923354,False
100000,0.05,Normal,Slow,0.8,5000.0,5016.575342465753,374.0000000000002,-4642.575342465753,-92.85150684931507,-1241.3303054721257,False
100000,0.05,Panic,Fast,0.0,5000.0,5016.575342465753,0.0,-5016.575342465753,-100.33150684931506,-100.0,False
100000,0.05,Panic,Moderate,0.5,5000.0,5016.575342465753,233.75000000000014,-4782.825342465753,-95.65650684931506,-2046.1284887554011,False
100000,0.05,Panic,Slow,1.0,5000.0,5016.575342465753,467.5000000000003,-4549.075342465753,-90.98150684931507,-973.0642443777006,False
1000000,0.005,Normal,Fast,0.0,5000.0,5016.513698630137,0.0,-5016.513698630137,-100.33027397260274,-100.0,False
1000000,0.005,Normal,Moderate,0.0,5000.0,5016.513698630137,0.0,-5016.513698630137,-100.33027397260274,-100.0,False
1000000,0.005,Normal,Slow,0.0,5000.0,5016.513698630137,0.0,-5016.513698630137,-100.33027397260274,-100.0,False
1000000,0.005,Panic,Fast,0.0,5000.0,5016.513698630137,0.0,-5016.513698630137,-100.33027397260274,-100.0,False
1000000,0.005,Panic,Moderate,0.2,5000.0,5016.513698630137,453.50000000000006,-4563.013698630137,-91.26027397260273,-1006.1772213076375,False
1000000,0.005,Panic,Slow,0.9,5000.0,5016.513698630137,2040.7500000000002,-2975.763698630137,-59.515273972602735,-145.81716029058614,False
1000000,0.01,Normal,Fast,0.0,10000.0,10033.041095890412,0.0,-10033.041095890412,-100.33041095890411,-100.0,False
1000000,0.01,Normal,Moderate,0.0,10000.0,10033.041095890412,0.0,-10033.041095890412,-100.33041095890411,-100.0,False
1000000,0.01,Normal,Slow,0.0,10000.0,10033.041095890412,0.0,-10033.041095890412,-100.33041095890411,-100.0,False
1000000,0.01,Panic,Fast,0.0,10000.0,10033.041095890412,0.0,-10033.041095890412,-100.33041095890411,-100.0,False
1000000,0.01,Panic,Moderate,0.4,10000.0,10033.041095890412,1014.0000000000002,-9019.041095890412,-90.19041095890412,-889.4517846045769,False
